date,state,positive,negative,pending,currentlyHospitalized,cumulativeHospitalized,currentlyInIcu,cumulativeInIcu,currentlyOnVentilator,cumulativeOnVentilator,recovered,death,hash,dateChecked,totalTestResults,total,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200330,ND,109,3728,,,19,,,,,19,2,fb16e8c3625149490433f85e6573dfd2ee17258d,2020-03-30T20:00:00Z,3837,3837,38,1,0,373,11,384
20200330,NE,145,2584,5,,,,,,,,2,d3601c51f7b7161335a39e91effd0daa9096f932,2020-03-30T20:00:00Z,2729,2734,31,0,0,616,37,653
20200330,NH,314,5386,144,,45,,,,,,3,c2df3352eb0910c5dd060263620aa8389cb76b12,2020-03-30T20:00:00Z,5700,5844,33,1,0,862,100,962
20200330,NJ,16636,25224,,,,,,,,,198,30c610c2c6a72b16aab04a7248b50e581d17fad3,2020-03-30T20:00:00Z,41860,41860,34,37,0,3008,3250,6258
20200330,NM,237,10942,,22,22,,,,,26,2,238de393928b4e71b6182ab562da8197f2898771,2020-03-30T20:00:00Z,11179,11179,35,0,0,173,0,173
20200330,NV,1008,10207,,,,,,,,,15,39af0e929fc35eaaf7f7045cdf02afed7338c50e,2020-03-30T20:00:00Z,11215,11215,32,1,0,1795,270,2065
20200330,NY,66497,119971,,9517,13721,2352,2352,,,4204,1218,6bd475688cabb6c3f582e8c06e67da2c826ffa22,2020-03-30T20:00:00Z,186468,186468,36,253,0,7124,6984,14108
20200330,OH,1933,25342,,312,475,,163,,,,39,cc2fd5822ccc9007fd49564c03f60a6c1a0f729f,2020-03-30T20:00:00Z,27275,27275,39,10,0,6330,280,6610
20200330,OK,481,1207,,,153,,,,,,17,b282237128f0d1987a19e0e28a2695bb1eb873c3,2020-03-30T20:00:00Z,1688,1688,40,1,0,2,52,54
20200330,OR,606,12277,,,140,,,39,39,,16,f0fcfdf0934d0deaf4322a9c9bc1e64225107b72,2020-03-30T20:00:00Z,12883,12883,41,3,0,1399,58,1457
20200330,PA,4087,33777,,,386,,,,,,49,683b365b7a27fa07d05034e5156b3344826d6c4f,2020-03-30T20:00:00Z,37864,37864,42,11,0,3716,693,4409
20200330,PR,174,931,794,,,,,,,,6,7aa6e036e6b8cd073ea4e354ace6fd24fefd065a,2020-03-30T20:00:00Z,1105,1899,72,1,0,90,47,137
20200330,RI,408,3187,,41,41,9,9,6,6,,4,ab674e6b1d56dcc8087ad8be87f0b7646bbf094f,2020-03-30T20:00:00Z,3595,3595,44,1,0,646,114,760
20200330,SC,925,4160,,,129,,,,,,18,80386218dc80c90c7fa73254495e01fbe3bec725,2020-03-30T20:00:00Z,5085,5085,45,2,0,1145,151,1296
20200330,SD,101,3478,0,,,,,,,34,1,dbaf9dfe2d674ad4d8071a6ddb1284100e5320e6,2020-03-30T20:00:00Z,3579,3579,46,0,0,351,11,362
20200330,TN,1834,21470,,,148,,,,,,13,013443fb0ee6c3156d3e0ec0b69a2f4e2dbe2718,2020-03-30T20:00:00Z,23304,23304,47,6,0,2433,297,2730
20200330,TX,2877,33003,,,,,,,,38,34,1b7f3f899d485af3a6f743ccb785fa60a205b66d,2020-03-30T20:00:00Z,35880,35880,48,0,0,9795,325,10120
20200330,UT,806,15197,,,,,,,,,4,83e6a1904e2abfca9092ee38e80bd071ddb998fb,2020-03-30T20:00:00Z,16003,16003,49,2,0,1923,87,2010
20200330,VA,1020,11018,,,136,,,,,,25,c6bd397c5e500f0b6a889ad16f42636248e5114b,2020-03-30T20:00:00Z,12038,12038,51,3,0,1299,130,1429
20200330,VI,30,126,24,,,,,,,,,082d39ffc6f6342b63262b5d98f0f6d4a044e783,2020-03-30T20:00:00Z,156,180,78,0,0,3,7,10
20200330,VT,256,3674,,,18,,,,,,12,73001927c84c136928dccc991cc495064a8abc2f,2020-03-30T20:00:00Z,3930,3930,50,0,0,208,21,229
20200330,WA,4896,60566,,,254,,,,,,195,e2d02c2c34c0f906246087c14588dc5a64e6d60d,2020-03-30T20:00:00Z,65462,65462,53,6,0,5670,586,6256
20200330,WI,1221,15856,,,,,,,,,14,572842f12f4127afa226aa7280cd4bde32e095a9,2020-03-30T20:00:00Z,17077,17077,55,1,0,-694,109,-585
20200330,WV,126,2984,0,,1,,,,,,1,04092aac85404ed0726b4017f87c78f63c7892e0,2020-03-30T20:00:00Z,3110,3110,54,1,0,279,13,292
20200330,WY,94,1840,,,17,,,,,24,0,04239b2a29f606728f75b29171e1f676f870fc0e,2020-03-30T20:00:00Z,1934,1934,56,0,0,286,8,294
20200329,AK,102,3232,,,6,,,,,,2,6f9d6e34b9df68295e0b12772a15ad24dba71b36,2020-03-29T20:00:00Z,3334,3334,02,0,0,396,17,413
20200329,AL,806,4184,,,,,,,,,4,1fd2a804b5488769d84fbea8794ff3857558fdc0,2020-03-29T20:00:00Z,4990,4990,01,1,0,0,110,110
20200329,AR,426,3027,,43,48,,,16,17,28,6,81cf1743f19032ff67dd751893e62bb9d4260729,2020-03-29T20:00:00Z,3453,3453,05,1,0,89,22,111
20200329,AS,,,,,,,,,,,0,f90c2b49414f4433cddcdccc8c141704cdeee0a1,2020-03-29T20:00:00Z,0,0,60,0,0,0,0,0
20200329,AZ,919,12953,,,78,,30,,,,17,84f78419d6259825d811df4cb3e5569c3c967981,2020-03-29T20:00:00Z,13872,13872,04,2,0,5498,46,5544
20200329,CA,5708,20549,64400,1034,1034,410,410,,,,123,ac69a99f7c7e3ffa8faf9b99ef901975ee2401d5,2020-03-29T20:00:00Z,26257,90657,06,22,0,0,1065,1065
20200329,CO,2061,11215,,,274,,,,,,44,f8de2f87ba92dd95d576cdf2b3b1edab2da042f5,2020-03-29T20:00:00Z,13276,13276,08,13,0,1273,327,1600
20200329,CT,1993,9907,,,404,,,,,,34,f80ad18293657bdb0771b35f0e9235672e55c10d,2020-03-29T20:00:00Z,11900,11900,09,7,0,2798,702,3500
20200329,DC,342,2469,1,,,,,,,66,5,47c529171e346764ba86b885ed5678f9bbffbef7,2020-03-29T20:00:00Z,2811,2812,11,1,0,258,38,296
20200329,DE,232,36,,,33,,,,,9,6,c9e8ccf5f7ed468bda217d5631895e283bfb4bb8,2020-03-29T20:00:00Z,268,268,10,3,0,0,18,18
20200329,FL,4246,39070,,,594,,,,,,56,9e0fc7b7cfa31e51f0c296195e056887d88d9e83,2020-03-29T20:00:00Z,43316,43316,12,2,0,3704,483,4187
20200329,GA,2651,9913,,,666,,,,,,80,a45ccd770cd626c1bab5f051ceee0c3a0a9fd86f,2020-03-29T20:00:00Z,12564,12564,13,11,0,1228,285,1513
20200329,GU,56,334,,,15,,,,,7,1,59aa1092494b6594a770ca3aa112b7b81dc95a8d,2020-03-29T20:00:00Z,390,390,66,0,0,35,1,36
20200329,HI,151,6849,4,,12,,,,,,0,9907883af2b29cbf7fb81f664d7d7cab55f227f1,2020-03-29T20:00:00Z,7000,7004,15,0,0,2492,31,2523
20200329,IA,336,5013,,51,68,,,,,17,4,b1442e03a91039f754327d160ac29cb01a080347,2020-03-29T20:00:00Z,5349,5349,19,1,0,638,38,676
20200329,ID,261,4021,,,36,,,,,,5,4e71f43e584e9608cd87fb0888ab53b4475c90ce,2020-03-29T20:00:00Z,4282,4282,16,1,0,679,31,710
20200329,IL,4596,23166,,,,,,,,,65,b98de9acc10a7bfdd41f64fee4bc660dd86655c5,2020-03-29T20:00:00Z,27762,27762,17,18,0,1166,1105,2271
20200329,IN,1514,8316,,,,,,,,,32,557b366af1346c292c2325e7a7ce24be2e7e9807,2020-03-29T20:00:00Z,9830,9830,18,1,0,1141,282,1423
20200329,KS,319,4194,,,55,,,,,,6,f637adaf24e16fd0e2ddab112339791e0b512ab3,2020-03-29T20:00:00Z,4513,4513,20,1,0,523,58,581
20200329,KY,394,5147,,,,,,,,,9,32bfeb4b2a3d37f19a7d282726e1f8d4562b26c1,2020-03-29T20:00:00Z,5541,5541,21,1,0,326,92,418
20200329,LA,3540,24331,,,1127,,,,380,,151,7d29c7c4b27ec5b7e7050a678e01980428bc5af2,2020-03-29T20:00:00Z,27871,27871,22,14,0,2485,225,2710
20200329,MA,4955,34111,,,399,,,,,,48,78b2b5886deb487de4d04e908595846b6a25582e,2020-03-29T20:00:00Z,39066,39066,25,4,0,3319,698,4017
20200329,MD,1239,12354,,,277,,,,,,10,37f90e08fbe682fb409ab71a957f03c85aa0721d,2020-03-29T20:00:00Z,13593,13593,24,5,0,838,247,1085
20200329,ME,253,3394,,,,,,,,41,3,ac32a3b1cd0193f331a8ef4aa07b4e9a49776e4f,2020-03-29T20:00:00Z,3647,3647,23,2,0,0,42,42
20200329,MI,5486,11893,,,,,,,,,132,04da73dcf5bf05c419af80ca5f211a00d928874b,2020-03-29T20:00:00Z,17379,17379,26,40,0,2784,1829,4613
20200329,MN,503,17154,,39,75,,17,,,252,9,70d9d2dd46b97bcb5656ec39dcf40bb25179f0f8,2020-03-29T20:00:00Z,17657,17657,27,4,0,1466,62,1528
