Rank,Country (or dependent territory),Population,% of worldpopulation,Date,Source
113,Singapore,5703600,,30 Jun 2019,National estimate[104]
114,Finland,5527573,,31 Dec 2019,National monthly estimate[105]
115,Congo,5518092,,1 Jul 2020,UN projection[2]
116,Central African Republic,5496011,,1 Jul 2019,National annual projection[106]
117,Slovakia,5456362,,30 Sep 2019,National estimate[107]
118,Norway,5367580,,1 Jan 2020,National quarterly estimate[108]
119,Costa Rica,5058007,,30 Jun 2019,National annual projection[109]
120,Palestine,4976684,,1 Jul 2019,National annual projection[110]
121,New Zealand,4973479,,27 Mar 2020,National population clock[111]
122,Ireland,4921500,,1 Apr 2019,National estimate[112]
123,Oman,4664790,,1 Jan 2020,National estimate[113]
124,Liberia,4475353,,1 Jul 2019,National projection[114]
125,Kuwait,4420110,,1 Jan 2019,National annual estimate[115]
126,Panama,4218808,,1 Jul 2019,National annual projection[116]
127,Mauritania,4077347,,1 Jul 2019,National annual projection[117]
128,Croatia,4076246,,31 Dec 2018,National annual estimate[118]
129,Georgia,3723464,,1 Jan 2019,National annual estimate[119]
130,Uruguay,3518552,,30 Jun 2019,National annual projection[120]
131,Eritrea,3497117,,1 Jul 2019,UN projection[2]
132,Mongolia,3309607,,27 Mar 2020,National population clock[121]
133,Bosnia and Herzegovina,3301000,,1 Jul 2019,UN projection[2]
–,Puerto Rico (US),3193694,,1 Jul 2019,National estimate[122]
134,Armenia,2957500,,30 Sep 2019,National quarterly estimate[123]
135,Albania,2845955,,1 Jan 2020,National annual estimate[124]
136,Lithuania,2793471,,1 Mar 2020,Monthly national estimate[125]
137,Qatar,2747282,,30 Sep 2019,Monthly national estimate[126]
138,Jamaica,2726667,,31 Dec 2018,National estimate[127]
139,Moldova,2681735,,1 Jan 2019,National estimate[128]
140,Namibia,2458936,,1 Jul 2019,National projection[129]
141,Gambia,2347706,,1 Jul 2019,UN projection[2]
142,Botswana,2338851,,1 Jul 2019,National annual projection[130]
143,Gabon,2172579,,1 Jul 2019,UN projection[2]
144,Slovenia,2094060,,1 Oct 2019,National estimate[131]
145,North Macedonia,2077132,,31 Dec 2018,National estimate[132]
146,Lesotho,2007201,,10 Apr 2016,2016 census result[133]
147,Latvia,1906800,,1 Feb 2020,Monthly national estimate[134]
–,Kosovo,1795666,,31 Dec 2018,National annual estimate[135]
148,Guinea-Bissau,1604528,,1 Jul 2019,National annual projection[136]
149,Bahrain,1543300,,1 Jul 2019,National annual projection[137]
150,East Timor,1387149,,1 Jul 2019,National annual projection[138]
151,Trinidad and Tobago,1363985,,30 Jun 2019,National estimate[139]
152,Equatorial Guinea,1358276,,1 Jul 2018,National estimate[140]
153,Estonia,1328360,,1 Jan 2020,National estimate[141]
154,Mauritius,1265985,,1 Jul 2019,National estimate[142]
155,Eswatini,1093238,,11 May 2017,National census result[143]
156,Djibouti,1078373,,1 Jul 2019,National annual projection[144]
157,Fiji,884887,,17 Sep 2017,National census result[145]
158,Cyprus,875900,,31 Dec 2018,National annual estimate[146]
159,Comoros,873724,,1 Jul 2019,National estimate[147]
160,Guyana,782766,,1 Jul 2019,UN projection[2]
161,Bhutan,741672,,1 Jul 2019,National annual projection[148]
162,Solomon Islands,680806,,1 Jul 2019,National annual projection[149]
–,Macau (China),679600,,31 Dec 2019,National quarterly estimate[150]
163,Montenegro,622359,,1 Jan 2018,National estimate[151]
164,Luxembourg,613894,,1 Jan 2019,National estimate[152]
–,Western Sahara,582463,,1 Jul 2019,UN projection[2]
165,Suriname,581372,,1 Jul 2019,UN projection[2]
166,Cape Verde,550483,,1 Jul 2019,National annual projection[153]
167,Malta,493559,,31 Dec 2018,National estimate[154]
–,Transnistria,469000,,1 Jan 2018,National estimate[155]
168,Brunei,442400,,1 Jul 2018,National estimate[156]
169,Belize,408487,,1 Jul 2019,National estimate[157]
170,Bahamas,385340,,1 Jul 2019,National annual projection[158]
171,Maldives,374775,,31 Dec 2018,National annual estimate[159]
172,Iceland,364260,,31 Dec 2019,National quarterly estimate[160]
—,Northern Cyprus,351965,,31 Dec 2017,National estimate[161]
173,Vanuatu,304500,,1 Jul 2018,National annual estimate[91]
174,Barbados,287025,,1 Jul 2019,UN projection[2]
–,New Caledonia (France),282200,,1 Jan 2018,National annual estimate[162]
–,French Polynesia (France),275918,,17 Aug 2017,2017 census results[163]
–,Abkhazia,244832,,1 Jan 2018,National estimate[164]
175,São Tomé and Príncipe,201784,,1 Jul 2018,National estimate[165]
176,Samoa,200874,,1 Jul 2019,National projection[166]
177,Saint Lucia,178696,,1 Jul 2018,National annual estimate[167]
–,Guam (US),172400,,1 Jul 2018,National annual estimate[91]
–,Curaçao (Netherlands),158665,,1 Jan 2019,National annual estimate[168]
–,Artsakh,148000,,1 Jan 2019,National annual estimate[169]
178,Kiribati,120100,,1 Jul 2018,National annual estimate[91]
–,Aruba (Netherlands),112309,,31 Mar 2019,National quarterly estimate[170]
179,Grenada,112003,,1 Jul 2019,UN projection[2]
180,Saint Vincent and the Grenadines,110608,,1 Jul 2019,National estimate[171]
–,Jersey (UK),106800,,31 Dec 2018,National estimate[172]
–,U.S. Virgin Islands (US),104578,,1 Jul 2019,UN projection[2]
181,F.S. Micronesia,104468,,1 Jul 2019,National annual projection[173]
182,Tonga,100651,,30 Nov 2016,2016 census result[174]
183,Seychelles,97625,,30 Jun 2019,National estimate[175]
184,Antigua and Barbuda,96453,,1 Jul 2019,National annual projection[176]
–,Isle of Man (UK),83314,,24 Apr 2016,2016 census result[177]
185,Andorra,77543,,31 Dec 2019,National estimate[178]
186,Dominica,71808,,1 Jul 2019,UN projection[2]
–,Cayman Islands (UK),65813,,31 Dec 2018,National estimate[179]
–,Bermuda (UK),64027,,1 Jul 2019,National annual projection[180]
